,Content,Location,Retweet-Count,Favorites,Created at
0,"We recognize these faces! Mrs. Mann reflects on teaching young adults with special needs during the pandemic, and her son chimes in with his thoughts. 📚😷👩🏻‍🏫 #wearegrandville #pandemiceducation https://t.co/Pv6gF8p76A","3839 Prairie, Grandville, MI",0,0,2021-03-15 18:56:18
1,"That is the story of the #PandemicEducation in Mariemont City Schools.

Watch the State of the Schools video here: https://t.co/wDJ1NPot1d

Then read the special SOTS edition of The Experience Newsmagazine here: https://t.co/31VHSW2dqt",,0,3,2021-03-11 20:18:32
2,"Tests for 2020-21 will not be comparable to previous years or actionable for future years--so why go through the rigmarole? 🤷‍♀️
#supportpublicschools #studentsfirst
#pandemiceducation #mentalhealthmatters https://t.co/q7ksH9OIRy","Tennessee, USA",0,1,2021-03-10 13:52:15
3,"This week we will be talking w/ Jessica Martinez 2 hear her story &amp; her journey through remote learning. Jessica Martinez has been an ELA, middle &amp; high school, educator for the past 7 years. 

#tableforfour #remotelearning #education #teachers #students #pandemiceducation https://t.co/ycKjnqQ4UX","Queens, NY",0,0,2021-03-08 21:06:40
